"","EMPLOYMENT.STATUS","GENDER"
"827","Employed part time","Man"
"829","Full time student","Man"
"830","Employed full time","Man"
"834","Employed full time","Man"
"835","Other - please describe","Man"
"836","Full time student","Man"
"837","Employed full time","Man"
"838","Employed full time","Prefer not to say"
"839","Temporarily not working","Man"
"840","Employed full time","Man"
"842","Employed full time","Man"
"844","Employed full time","Man"
"845","Employed full time","Man"
"846","Other - please describe","Man"
"848","Employed full time","Non-binary  or Other"
"849","Employed full time","Man"
"850","Employed full time","Man"
"851","Employed part time","Man"
"852","Full time student","Man"
"853","Full time student","Man"
"854","Employed full time","Man"
"856","Temporarily not working","Man"
"859","Employed full time","Man"
"861","Full time student","Man"
"863","Employed full time","Man"
"864","Employed full time","Man"
"865","Employed full time","Man"
"866","Employed full time","Man"
"867","Employed full time","Man"
"868","Employed full time","Man"
"869","Employed full time","Man"
"871","Employed full time","Man"
"872","Employed full time","Man"
"873","Employed full time","Man"
"878","Employed full time","Man"
"879","Employed part time","Man"
"880","Employed full time","Man"
"882","Employed full time","Man"
"884","Employed full time","Man"
"885","Employed full time","Man"
"886","Full time student","Man"
"887","Employed full time","Man"
"891","Employed full time","Prefer not to say"
"892","Employed part time","Man"
"894","Employed full time","Man"
"895","Full time student","Man"
"897","Employed full time","Man"
"898","Employed full time","Man"
"899","Employed full time","Man"
"902","Full time student","Man"
"903","Employed full time","Man"
"904","Temporarily not working","Man"
"908","Temporarily not working","Man"
"909","Employed full time","Man"
"910","Full time student","Man"
"911","Full time student","Man"
"914","Other - please describe","Man"
"916","Temporarily not working","Man"
"919","Employed full time","Man"
"921","Employed full time","Man"
"922","Employed full time","Man"
"924","Employed full time","Man"
"925","Full time student","Man"
"926","Employed full time","Man"
"927","Employed full time","Man"
"931","Employed full time","Man"
"933","Other - please describe","Woman"
"934","Employed full time","Man"
"935","Employed full time","Man"
"937","Other - please describe","Man"
"938","Employed full time","Man"
"939","Employed full time","Man"
"941","Employed full time","Man"
"942","Full time student","Man"
"943","Employed full time","Man"
"944","Full time student","Man"
"946","Employed full time","Man"
"947","Full time student","Man"
"949","Employed full time","Man"
"950","Employed full time","Man"
"956","Employed full time","Man"
"959","Employed full time","Man"
"960","Employed part time","Man"
"961","Employed full time","Man"
"962","Employed full time","Man"
"964","","Man"
"967","Employed full time","Man"
"969","Employed full time","Man"
"971","Employed full time","Man"
"974","Employed full time","Man"
"975","Employed full time","Man"
"977","Employed full time","Woman"
"978","Full time student","Man"
"979","Employed full time","Man"
"980","Full time student","Man"
"981","Employed full time","Man"
"982","Employed full time","Man"
"983","Employed part time","Man"
"984","Employed full time","Man"
"985","Full time student","Man"
"987","Temporarily not working","Man"
"991","Employed full time","Man"
"996","Employed full time","Man"
"997","Employed full time","Man"
"1001","Other - please describe","Man"
"1002","Temporarily not working","Man"
"1004","Employed full time","Man"
"1005","Full time student","Man"
"1008","Temporarily not working","Man"
"1011","Employed full time","Man"
"1012","Employed full time","Man"
"1013","Employed full time","Man"
"1014","Full time student","Man"
"1015","Employed full time","Man"
"1016","Employed full time","Prefer not to say"
"1019","Employed full time","Man"
"1022","Employed full time","Man"
"1023","Employed full time","Man"
"1026","Employed full time","Man"
"1028","Employed full time","Man"
"1029","Employed full time","Man"
"1030","Employed full time","Man"
"1031","Full time student","Man"
"1032","Full time student","Non-binary  or Other"
"1034","Temporarily not working","Man"
"1036","Employed full time","Man"
"1037","Employed full time","Man"
"1039","Employed full time","Man"
"1041","Employed full time","Man"
"1044","Employed full time","Man"
"1046","Employed full time","Man"
"1048","Employed full time","Man"
"1049","Employed part time","Man"
"1050","Full time student","Man"
"1055","Employed full time","Man"
"1056","Employed full time","Man"
"1057","Employed full time","Man"
"1061","Employed full time","Man"
"1062","Full time student","Man"
"1063","Employed full time","Man"
"1064","Employed full time","Man"
"1066","Full time student","Man"
"1068","Employed full time","Man"
"1069","Employed full time","Man"
"1070","Employed full time","Man"
"1071","Employed full time","Man"
"1074","Employed full time","Man"
"1075","Retired or permanently not working (e.g. due to disability)","Man"
"1076","Full time student","Man"
"1078","Employed full time","Woman"
"1081","Employed full time","Man"
"1082","Employed full time","Man"
"1085","Employed full time","Man"
"1088","Employed full time","Man"
"1089","Employed full time","Man"
"1090","Employed full time","Man"
"1091","Employed full time","Man"
"1092","Employed full time","Man"
"1093","Employed full time","Prefer not to say"
"1095","Employed full time","Man"
"1099","Employed full time","Man"
"1100","Employed full time","Man"
"1101","Employed full time","Man"
"1102","Temporarily not working","Man"
"1104","Employed full time","Man"
"1106","Employed full time","Man"
"1107","Employed full time","Man"
"1108","Employed full time","Man"
"1109","Employed full time","Man"
"1114","Employed full time","Man"
"1115","Employed full time","Man"
"1118","Employed full time","Man"
"1122","Employed full time","Man"
"1123","Employed full time","Man"
"1125","Employed full time","Man"
"1126","Employed full time","Man"
"1130","Employed full time","Man"
"1131","Employed full time","Man"
"1132","Employed full time","Man"
"1134","Employed full time","Prefer not to say"
"1137","Employed full time","Man"
"1138","Employed full time","Man"
"1139","Employed full time","Man"
"1140","Full time student","Man"
"1141","Employed full time","Prefer not to say"
"1142","Employed full time","Man"
"1144","Employed full time","Man"
"1146","Employed full time","Man"
"1148","Employed full time","Prefer not to say"
"1151","Employed full time","Man"
"1153","Employed part time","Man"
"1154","Full time student","Man"
"1157","Other - please describe","Man"
"1158","Employed full time","Man"
"1159","Employed full time","Man"
"1160","Employed full time","Man"
"1161","Employed full time","Man"
"1164","Employed full time","Man"
"1165","Employed full time","Man"
"1166","Employed full time","Man"
"1167","Employed full time","Man"
"1168","Employed full time","Man"
"1170","Employed full time","Man"
"1171","Employed full time","Man"
"1172","Employed full time","Man"
"1173","Employed full time","Man"
"1176","Employed full time","Man"
"1177","Employed full time","Man"
"1181","Employed full time","Man"
"1183","Full time student","Man"
"1184","Employed full time","Man"
"1185","Employed full time","Man"
"1186","Employed full time","Man"
"1187","Other - please describe","Woman"
"1189","Employed full time","Man"
"1193","Employed full time","Man"
"1195","Temporarily not working","Man"
"1197","Employed full time","Man"
"1201","Employed full time","Man"
"1202","Employed full time","Man"
"1203","Employed full time","Man"
"1205","Employed full time","Man"
"1207","Employed full time","Man"
"1209","Employed full time","Man"
"1210","Employed full time","Man"
"1215","Employed full time","Man"
"1218","Employed full time","Man"
"1228","Employed full time","Man"
"1229","Employed full time","Man"
"1230","Full time student","Man"
"1231","Full time student","Man"
"1236","Other - please describe","Man"
"1237","Employed full time","Man"
"1239","Employed part time","Man"
"1242","Full time student","Man"
"1244","Employed full time","Man"
"1246","Employed part time","Man"
"1249","Employed part time","Man"
"1251","Employed full time","Man"
"1253","Temporarily not working","Man"
"1254","Employed full time","Man"
"1255","Employed full time","Man"
"1256","Employed full time","Man"
"1257","Full time student","Man"
"1259","Full time student","Man"
"1260","Employed full time","Man"
"1264","Employed full time","Man"
"1265","Employed full time","Man"
"1266","Employed full time","Man"
"1267","Employed full time","Woman"
"1268","Other - please describe","Prefer not to say"
"1269","Employed full time","Man"
"1270","Employed full time","Man"
"1271","Employed full time","Man"
"1272","Employed full time","Man"
"1274","Full time student","Man"
"1275","Employed full time","Man"
"1276","Full time student","Man"
"1278","Employed part time","Man"
"1279","Employed full time","Man"
"1286","Employed full time","Man"
"1288","Full time student","Man"
"1289","Employed full time","Man"
"1290","Employed full time","Man"
"1291","Employed full time","Man"
"1293","Full time student","Man"
"1294","Employed full time","Man"
"1295","Employed full time","Man"
"1296","Employed full time","Man"
"1297","Employed full time","Man"
"1298","Employed full time","Woman"
"1299","Employed full time","Man"
"1300","Employed full time","Man"
"1303","Employed full time","Man"
"1304","Employed full time","Man"
"1307","Full time student","Man"
"1309","Employed full time","Man"
"1310","Employed full time","Man"
"1312","Full time student","Man"
"1313","Employed part time","Man"
"1314","Employed full time","Man"
"1319","Employed full time","Man"
"1320","Employed full time","Man"
"1322","Employed part time","Woman"
"1324","Employed full time","Man"
"1329","Full time student","Man"
"1330","Employed full time","Man"
"1331","Employed full time","Man"
"1332","Employed full time","Man"
"1335","Employed full time","Man"
"1336","Full time student","Man"
"1337","Employed full time","Man"
"1338","Employed full time","Man"
"1339","Employed full time","Prefer not to say"
"1340","Employed full time","Man"
"1342","Retired or permanently not working (e.g. due to disability)","Man"
"1343","Employed full time","Man"
"1347","Employed full time","Man"
"1348","Full time student","Man"
"1350","Employed full time","Man"
"1351","Full time student","Prefer not to say"
"1353","Employed full time","Man"
"1354","Employed full time","Woman"
"1355","Employed full time","Prefer not to say"
"1356","Full time student","Man"
"1357","Employed part time","Man"
"1359","Retired or permanently not working (e.g. due to disability)","Man"
"1360","Employed full time","Man"
"1362","Employed full time","Man"
"1363","Full time student","Man"
"1364","Full time student","Man"
"1365","Employed full time","Man"
"1366","Employed full time","Man"
"1367","Employed full time","Woman"
"1369","Employed full time","Man"
"1371","Full time student","Man"
"1372","Employed full time","Prefer not to say"
"1373","Employed full time","Man"
"1374","Employed full time","Man"
"1377","Full time student","Man"
"1378","Retired or permanently not working (e.g. due to disability)","Non-binary  or Other"
"1380","Employed full time","Man"
"1381","Employed full time","Man"
"1384","Employed full time","Man"
"1386","Temporarily not working","Man"
"1387","Employed full time","Man"
"1389","Temporarily not working","Man"
"1390","Employed full time","Man"
"1391","Retired or permanently not working (e.g. due to disability)","Man"
"1392","Employed full time","Man"
"1394","Employed full time","Non-binary  or Other"
"1395","Full time student","Man"
"1396","Employed full time","Man"
"1399","Employed full time","Man"
"1400","Temporarily not working","Man"
"1401","Employed part time","Man"
"1402","Temporarily not working","Man"
"1403","Employed part time","Man"
"1404","Employed full time","Prefer not to say"
"1405","Full time student","Man"
"1406","Full time student","Man"
"1408","Employed full time","Man"
"1409","Employed full time","Man"
"1410","Employed full time","Man"
"1411","Employed full time","Man"
"1412","Employed full time","Man"
"1414","Temporarily not working","Man"
"1415","Employed full time","Man"
"1416","Employed full time","Man"
"1418","Temporarily not working","Man"
"1419","Temporarily not working","Man"
"1421","Employed full time","Man"
"1423","Employed part time","Man"
"1424","Employed full time","Man"
"1425","Employed full time","Man"
"1427","Employed full time","Prefer not to say"
"1429","Full time student","Man"
"1430","Employed full time","Man"
"1433","Full time student","Man"
"1435","Employed full time","Man"
"1436","Employed full time","Man"
"1440","Employed part time","Man"
"1442","Employed full time","Man"
"1443","Employed full time","Man"
"1444","Employed full time","Man"
"1445","Employed full time","Man"
"1446","Employed full time","Man"
"1447","Employed full time","Man"
"1449","Employed full time","Man"
"1451","Employed full time","Man"
"1452","Temporarily not working","Man"
"1454","Employed full time","Man"
"1456","Full time student","Man"
"1457","Employed full time","Man"
"1459","Employed full time","Prefer not to say"
"1462","Temporarily not working","Man"
"1463","Other - please describe","Man"
"1464","Employed full time","Woman"
"1465","Employed full time","Man"
"1466","Employed full time","Man"
"1467","Employed full time","Man"
"1470","Employed full time","Man"
"1472","Employed full time","Man"
"1473","Employed full time","Man"
"1477","Full time student","Man"
"1478","Full time student","Man"
"1482","Employed full time","Man"
"1484","Employed full time","Man"
"1485","Employed full time","Man"
"1488","Full time student","Man"
"1489","Employed full time","Man"
"1490","Employed full time","Man"
"1491","Employed full time","Man"
"1492","Employed full time","Man"
"1495","Employed full time","Man"
"1497","Employed full time","Man"
"1498","Employed full time","Man"
"1499","Employed full time","Man"
"1503","Employed full time","Man"
"1504","Full time student","Man"
"1505","Employed full time","Man"
"1507","Employed full time","Man"
"1510","Full time student","Man"
"1511","Other - please describe","Man"
"1512","Employed full time","Man"
"1513","Temporarily not working","Man"
"1516","Employed full time","Man"
"1517","Full time student","Man"
"1518","Employed full time","Woman"
"1519","Employed full time","Man"
"1520","Employed full time","Man"
"1522","Employed part time","Man"
"1523","Employed full time","Man"
"1525","Employed full time","Man"
"1526","Employed full time","Man"
"1528","Employed full time","Man"
"1529","Employed part time","Man"
"1530","Employed full time","Man"
"1531","Employed full time","Man"
"1533","Employed full time","Man"
"1534","Employed full time","Man"
"1535","Temporarily not working","Man"
"1537","Employed full time","Woman"
"1538","Employed full time","Man"
"1540","Employed part time","Man"
"1542","Full time student","Non-binary  or Other"
"1543","Employed part time","Prefer not to say"
"1544","Employed full time","Man"
"1545","Employed full time","Man"
"1548","Employed full time","Man"
"1549","Employed full time","Man"
"1550","Full time student","Man"
"1551","Employed full time","Prefer not to say"
"1552","Employed full time","Man"
"1553","Full time student","Woman"
"1554","Employed full time","Man"
"1559","Employed full time","Prefer not to say"
"1560","Employed part time","Man"
"1561","Employed part time","Man"
"1562","Employed full time","Man"
"1563","Employed full time","Man"
"1567","Full time student","Man"
"1568","Employed full time","Man"
"1570","Employed full time","Woman"
"1571","Employed full time","Man"
"1572","Employed full time","Man"
"1573","Retired or permanently not working (e.g. due to disability)","Prefer not to say"
"1575","","Man"
"1576","Employed full time","Prefer not to say"
"1577","Other - please describe","Man"
"1578","Employed full time","Man"
"1580","Employed full time","Man"
"1581","Employed full time","Prefer not to say"
"1585","Employed full time","Woman"
"1586","Employed full time","Man"
"1590","Full time student","Man"
"1593","Employed part time","Man"
"1594","Employed full time","Man"
"1596","Employed full time","Man"
"1597","Temporarily not working","Man"
"1598","Employed full time","Man"
"1600","Employed full time","Man"
"1604","Employed full time","Man"
"1605","Full time student","Man"
"1606","Employed part time","Man"
"1607","Employed full time","Man"
"1608","Employed full time","Man"
"1609","Full time student","Man"
"1610","Other - please describe","Man"
"1611","Full time student","Man"
"1614","Full time student","Man"
"1615","Employed full time","Man"
"1616","Employed full time","Man"
"1617","Full time student","Man"
"1618","Full time student","Man"
"1619","Employed full time","Man"
"1620","Employed full time","Man"
"1621","Other - please describe","Man"
"1623","Employed full time","Man"
"1624","Employed full time","Man"
"1625","Temporarily not working","Woman"
"1626","Full time student","Man"
"1630","Full time student","Man"
"1632","Temporarily not working","Man"
"1633","Full time student","Man"
"1634","Temporarily not working","Man"
"1638","Employed full time","Man"
"1642","Full time student","Man"
"1643","Employed full time","Man"
"1644","Employed full time","Man"
"1645","Employed full time","Man"
"1649","Employed full time","Man"
"1651","Employed full time","Woman"
"1652","Employed part time","Man"
"1653","Employed full time","Man"
"1654","Employed full time","Man"
"1655","Full time student","Man"
"1656","Full time student","Man"
"1657","Full time student","Man"
"1658","Employed full time","Man"
"1660","Full time student","Man"
"1661","Employed full time","Man"
"1662","Full time student","Man"
"1663","Employed full time","Man"
"1666","Full time student","Man"
"1667","Employed full time","Man"
"1669","Employed full time","Man"
"1672","Employed full time","Man"
"1676","Full time student","Man"
"1678","Employed full time","Man"
"1680","Employed part time","Man"
"1681","Employed full time","Man"
"1683","Employed full time","Man"
"1684","Full time student","Man"
"1685","Employed full time","Man"
"1686","Full time student","Man"
"1687","Employed full time","Man"
"1688","Employed full time","Prefer not to say"
"1690","Employed full time","Man"
"1691","Employed full time","Man"
"1693","Full time student","Man"
"1694","Employed full time","Man"
"1695","Full time student","Man"
"1702","Full time student","Man"
